1274 569 478 [0,0,0,0,1,1][1,1,1,1,1,1][1,1,2,2,2,2][1,1,2,2,2,2][2,2,1,1,2,2][2,2,1,1,2,2]
1275 570 479 [0,0,0,0,1,1][1,1,1,1,1,1][1,1,2,2,2,2][1,1,2,2,2,2][2,2,1,1,3,3][2,2,1,1,3,3]
1276 571 480 [0,0,0,0,1,1][1,1,1,1,1,1][1,1,2,2,3,3][1,1,2,2,3,3][2,2,1,1,3,3][2,2,1,1,3,3]
1278 573 482 [0,0,0,0,1,1][1,1,1,1,1,1][1,1,2,3,2,3][1,1,2,3,2,3][2,3,1,1,3,2][2,3,1,1,3,2]
1283 576 485 [0,0,0,0,1,1][1,1,1,1,1,1][1,1,3,3,3,3][1,1,3,3,3,3][2,2,1,1,2,2][2,2,1,1,2,2]
1271 567 476 [0,0,0,0,1,1][1,1,1,1,1,1][1,1,1,1,1,1][1,1,1,1,1,1][2,2,2,2,1,1][2,2,2,2,1,1]
2310 839 706 [0,0,2,2,3,3][0,0,2,2,3,3][1,1,0,0,0,0][1,1,1,1,1,1][1,1,1,1,1,1][1,1,1,1,1,1]
2002 723 610 [0,0,1,1,1,1][0,0,1,1,1,1][2,2,1,1,2,2][2,2,1,1,2,2][2,2,1,1,2,2][2,2,1,1,2,2]
2003 724 611 [0,0,1,1,1,1][0,0,1,1,1,1][2,2,1,1,2,2][2,2,1,1,2,2][2,2,1,1,3,3][2,2,1,1,3,3]
2012 732 619 [0,0,1,1,1,1][0,0,1,1,1,1][2,2,1,1,3,3][2,2,1,1,3,3][2,2,1,1,3,3][2,2,1,1,3,3]
1053 469 393 [0,0,0,0,1,1][0,0,1,1,0,0][2,2,1,1,2,2][2,2,1,1,2,2][2,2,2,2,1,1][2,2,2,2,1,1]
390 210 191 [0,0,0,0,0,0][0,0,1,1,1,1][2,2,1,1,2,2][2,2,1,1,2,2][2,2,2,2,1,1][2,2,2,2,1,1]
1057 473 397 [0,0,0,0,1,1][0,0,1,1,0,0][2,2,1,1,3,3][2,2,1,1,3,3][2,2,3,3,1,1][2,2,3,3,1,1]
